数据库：分省年度数据
指标：年末常住人口(万人)
时间：最近10年
地区,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年
北京市,2186,2184,2189,2189,2190,2192,2194,2195,2188,2171
天津市,1364,1363,1373,1387,1385,1383,1410,1443,1439,1429
河北省,7393,7420,7448,7464,7447,7426,7409,7375,7345,7323
山西省,3466,3481,3480,3490,3497,3502,3510,3514,3519,3528
内蒙古自治区,2396,2401,2400,2403,2415,2422,2433,2436,2440,2449
辽宁省,4182,4197,4229,4255,4277,4291,4312,4327,4338,4358
吉林省,2339,2348,2375,2399,2448,2484,2526,2567,2613,2642
黑龙江省,3062,3099,3125,3171,3255,3327,3399,3463,3529,3608
上海市,2487,2475,2489,2488,2481,2475,2466,2467,2458,2467
江苏省,8526,8515,8505,8477,8469,8446,8423,8381,8315,8281
浙江省,6627,6577,6540,6468,6375,6273,6170,6072,5985,5890
安徽省,6121,6127,6113,6105,6092,6076,6057,6033,6011,5997
福建省,4183,4188,4187,4161,4137,4104,4065,4016,3984,3945
江西省,4515,4528,4517,4519,4516,4513,4511,4496,4485,4480
山东省,10123,10163,10170,10165,10106,10077,10033,9973,9866,9808
河南省,9815,9872,9883,9941,9901,9864,9829,9778,9701,9645
湖北省,5838,5844,5830,5745,5927,5917,5904,5885,5850,5816
湖南省,6568,6604,6622,6645,6640,6635,6633,6625,6615,6611
广东省,12706,12657,12684,12624,12489,12348,12141,11908,11678,11489
广西壮族自治区,5027,5047,5037,5019,4982,4947,4907,4857,4811,4770
海南省,1043,1027,1020,1012,995,982,972,957,945,936
重庆市,3191,3213,3212,3209,3188,3163,3144,3110,3070,3043
四川省,8368,8374,8372,8371,8351,8321,8289,8251,8196,8139
贵州省,3865,3856,3852,3858,3848,3822,3803,3758,3708,3677
云南省,4673,4693,4690,4722,4714,4703,4693,4677,4663,4653
西藏自治区,365,364,366,366,361,354,349,340,330,325
陕西省,3952,3956,3954,3955,3944,3931,3904,3874,3846,3827
甘肃省,2465,2492,2490,2501,2509,2515,2522,2520,2523,2531
青海省,594,595,594,593,590,587,586,582,577,576
宁夏回族自治区,729,728,725,721,717,710,705,695,684,678
新疆维吾尔自治区,2598,2587,2589,2590,2559,2520,2480,2428,2385,2325
注：常住人口包括：居住在本乡镇街道且户口在本乡镇街道或户口待定的人；居住在本乡镇街道且离开户口登记地所在的乡镇街道半年以上的人；户口在本乡镇街道且外出不满半年或在境外工作学习的人。
数据来源：国家统计局
